,pdb_name,has_sugar_names,has_L,has_D,type
44,1AH1,True,True,False,ALPHA-L-FUCOSE
45,1AIV,True,False,True,N-ACETYL-D-GLUCOSAMINE
46,1AIV,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
47,1AK0,True,False,True,N-ACETYL-D-GLUCOSAMINE
48,1AKN,True,False,True,N-ACETYL-D-GLUCOSAMINE
49,1ANF,True,False,True,ALPHA-D-GLUCOSE
50,1AO5,True,False,True,N-ACETYL-D-GLUCOSAMINE
51,1AOL,True,False,True,N-ACETYL-D-GLUCOSAMINE
52,1AOZ,True,False,True,N-ACETYL-D-GLUCOSAMINE
53,1APB,True,False,True,ALPHA-D-FUCOSE
54,1APB,True,False,True,BETA-D-FUCOSE
55,1APT,True,False,True,ALPHA-D-MANNOSE
56,1APU,True,False,True,ALPHA-D-MANNOSE
57,1APV,True,False,True,ALPHA-D-MANNOSE
58,1APW,True,False,True,ALPHA-D-MANNOSE
59,1APY,True,False,True,N-ACETYL-D-GLUCOSAMINE
60,1APY,True,False,True,BETA-D-MANNOSE
61,1APZ,True,False,True,N-ACETYL-D-GLUCOSAMINE
62,1APZ,True,False,True,BETA-D-MANNOSE
63,1AQ0,True,False,True,N-ACETYL-D-GLUCOSAMINE
64,1AQL,True,False,True,N-ACETYL-D-GLUCOSAMINE
65,1ARP,True,False,True,N-ACETYL-D-GLUCOSAMINE
66,1ARU,True,False,True,N-ACETYL-D-GLUCOSAMINE
67,1ARV,True,False,True,N-ACETYL-D-GLUCOSAMINE
68,1ARW,True,False,True,N-ACETYL-D-GLUCOSAMINE
69,1ARX,True,False,True,N-ACETYL-D-GLUCOSAMINE
70,1ARY,True,False,True,N-ACETYL-D-GLUCOSAMINE
71,1ASO,True,False,True,N-ACETYL-D-GLUCOSAMINE
72,1ASP,True,False,True,N-ACETYL-D-GLUCOSAMINE
73,1ASQ,True,False,True,N-ACETYL-D-GLUCOSAMINE
74,1AT5,True,False,True,N-ACETYL-D-GLUCOSAMINE
75,1AT6,True,False,True,N-ACETYL-D-GLUCOSAMINE
76,1ATN,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
77,1ATN,True,False,True,N-ACETYL-D-GLUCOSAMINE
78,1ATN,True,False,True,BETA-D-MANNOSE
79,1AU1,True,False,True,BETA-D-GLUCOSE
80,1AU1,True,False,True,6-DEOXY-ALPHA-D-GLUCOSE
81,1AUK,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
82,1AUK,True,False,True,N-ACETYL-D-GLUCOSAMINE
83,1AVB,True,False,True,N-ACETYL-D-GLUCOSAMINE
84,1AVD,True,False,True,N-ACETYL-D-GLUCOSAMINE
85,1AVE,True,False,True,N-ACETYL-D-GLUCOSAMINE
86,1AX0,True,False,True,N-ACETYL-D-GLUCOSAMINE
87,1AX0,True,True,False,ALPHA-L-FUCOSE
88,1AX0,True,False,True,BETA-D-MANNOSE
89,1AX0,True,False,True,ALPHA-D-MANNOSE
90,1AX0,True,False,False,N-ACETYL-2-DEOXY-2-AMINO-GALACTOSE
91,1AX1,True,False,True,N-ACETYL-D-GLUCOSAMINE
92,1AX1,True,True,False,ALPHA-L-FUCOSE
93,1AX1,True,False,True,BETA-D-MANNOSE
94,1AX1,True,False,True,ALPHA-D-MANNOSE
95,1AX1,True,False,True,BETA-D-GLUCOSE
96,1AX1,True,False,True,BETA-D-GALACTOSE
97,1AX2,True,False,True,N-ACETYL-D-GLUCOSAMINE
98,1AX2,True,True,False,ALPHA-L-FUCOSE
99,1AX2,True,False,True,BETA-D-MANNOSE
100,1AX2,True,False,True,ALPHA-D-MANNOSE
101,1AX2,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
102,1AX2,True,False,True,BETA-D-GALACTOSE
103,1AXM,True,False,False,"N,O6-DISULFO-GLUCOSAMINE"
104,1AXY,True,False,True,N-ACETYL-D-GLUCOSAMINE
105,1AXY,True,True,False,ALPHA-L-FUCOSE
106,1AXY,True,False,True,BETA-D-MANNOSE
107,1AXY,True,False,True,ALPHA-D-MANNOSE
108,1AXZ,True,False,True,N-ACETYL-D-GLUCOSAMINE
109,1AXZ,True,True,False,ALPHA-L-FUCOSE
110,1AXZ,True,False,True,BETA-D-MANNOSE
111,1AXZ,True,False,True,ALPHA-D-MANNOSE
112,1AXZ,True,False,False,ALPHA D-GALACTOSE
113,1AXZ,True,False,True,BETA-D-GALACTOSE
114,1AY2,True,False,False,ALPHA D-GALACTOSE
115,1AY2,True,False,True,N-ACETYL-D-GLUCOSAMINE
116,1AYO,True,False,True,N-ACETYL-D-GLUCOSAMINE
117,1AZX,True,False,True,N-ACETYL-D-GLUCOSAMINE
118,1B0F,True,False,True,N-ACETYL-D-GLUCOSAMINE
119,1B0F,True,True,False,ALPHA-L-FUCOSE
120,1B1Y,True,False,True,ALPHA-D-GLUCOSE
121,1B1Y,True,False,True,BETA-D-GLUCOSE
122,1B2Y,True,False,True,6-DEOXY-ALPHA-D-GLUCOSE
123,1B2Y,True,False,True,ALPHA-D-GLUCOSE
124,1B2Y,True,False,True,BETA-D-GLUCOSE
125,1B37,True,False,True,N-ACETYL-D-GLUCOSAMINE
126,1B37,True,False,True,ALPHA-D-FUCOSE
127,1B37,True,False,True,ALPHA-D-MANNOSE
128,1B3J,True,False,True,N-ACETYL-D-GLUCOSAMINE
129,1B41,True,True,False,ALPHA-L-FUCOSE
130,1B41,True,False,True,N-ACETYL-D-GLUCOSAMINE
131,1B41,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
132,1B4D,True,False,True,1-DEOXY-1-METHOXYCARBAMIDO-BETA-D-GLUCO-2-HEPTULOPYRANOSONAMIDE
133,1B4W,True,False,False,B-OCTYLGLUCOSIDE
134,1B5F,True,False,True,N-ACETYL-D-GLUCOSAMINE
135,1B5F,True,True,False,ALPHA-L-FUCOSE
136,1B5F,True,False,True,BETA-D-MANNOSE
137,1B5F,True,False,True,ALPHA-D-MANNOSE
138,1B5Q,True,False,True,N-ACETYL-D-GLUCOSAMINE
139,1B5Q,True,False,True,ALPHA-D-FUCOSE
140,1B5Q,True,False,True,ALPHA-D-MANNOSE
141,1B9S,True,False,True,N-ACETYL-D-GLUCOSAMINE
142,1B9T,True,False,True,N-ACETYL-D-GLUCOSAMINE
143,1B9V,True,False,True,N-ACETYL-D-GLUCOSAMINE
144,1BA8,True,False,True,N-ACETYL-D-GLUCOSAMINE
145,1BAG,True,False,True,ALPHA-D-GLUCOSE
146,1BAG,True,False,True,BETA-D-GLUCOSE
147,1BCC,True,False,False,B-OCTYLGLUCOSIDE
148,1BCH,True,False,False,N-ACETYL-2-DEOXY-2-AMINO-GALACTOSE
149,1BCH,True,False,True,N-ACETYL-D-GALACTOSAMINE
150,1BCJ,True,False,True,N-ACETYL-D-GALACTOSAMINE
151,1BCR,True,False,True,N-ACETYL-D-GLUCOSAMINE
152,1BCR,True,True,False,ALPHA-L-FUCOSE
153,1BCS,True,False,True,N-ACETYL-D-GLUCOSAMINE
154,1BCS,True,True,False,ALPHA-L-FUCOSE
155,1BCS,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
156,1BDG,True,False,True,ALPHA-D-GLUCOSE
157,1BFB,True,False,False,"N,O6-DISULFO-GLUCOSAMINE"
158,1BFC,True,False,False,"N,O6-DISULFO-GLUCOSAMINE"
159,1BFN,True,False,True,ALPHA-D-GLUCOSE
160,1BFV,True,False,True,ESTRIOL 3-(B-D-GLUCURONIDE)
161,1BG3,True,False,True,BETA-D-GLUCOSE
162,1BG3,True,False,True,ALPHA-D-GLUCOSE-6-PHOSPHATE
163,1BG9,True,False,True,BETA-D-GLUCOSE
164,1BG9,True,False,True,"4,6-dideoxy-4-{[(1S,4S,5S,6S)-4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl]amino}-beta-D-glucopyranose"
165,1BHG,True,False,True,N-ACETYL-D-GLUCOSAMINE
166,1BHG,True,False,True,BETA-D-MANNOSE
167,1BHG,True,False,True,ALPHA-D-MANNOSE
168,1BIK,True,False,True,N-ACETYL-D-GLUCOSAMINE
169,1BJI,True,False,True,N-ACETYL-D-GLUCOSAMINE
170,1BJI,True,False,True,BETA-D-MANNOSE
171,1BJI,True,False,True,ALPHA-D-MANNOSE
172,1BLF,True,False,True,N-ACETYL-D-GLUCOSAMINE
173,1BLF,True,False,True,BETA-D-MANNOSE
174,1BLF,True,False,True,ALPHA-D-MANNOSE
175,1BMO,True,False,True,N-ACETYL-D-GLUCOSAMINE
176,1BOS,True,False,False,ALPHA D-GALACTOSE
177,1BOS,True,False,True,BETA-D-GALACTOSE
178,1BOS,True,False,True,BETA-D-GLUCOSE
179,1BQH,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
180,1BQH,True,False,True,N-ACETYL-D-GLUCOSAMINE
181,1BQP,True,False,True,ALPHA-D-MANNOSE
182,1BQP,True,False,True,BETA-D-MANNOSE
183,1BQS,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
184,1BRR,True,False,True,ALPHA-D-GLUCOSE
185,1BRR,True,False,True,ALPHA-D-MANNOSE
186,1BRR,True,False,False,O3-SULFONYLGALACTOSE
187,1BRR,True,False,True,BETA-D-GLUCOSE
188,1BSI,True,False,True,N-ACETYL-D-GLUCOSAMINE
189,1BTC,True,False,True,ALPHA-D-GLUCOSE
190,1BTE,True,False,True,N-ACETYL-D-GLUCOSAMINE
191,1BU8,True,False,True,N-ACETYL-D-GLUCOSAMINE
192,1BVW,True,False,True,ALPHA-D-MANNOSE
193,1BVW,True,False,True,N-ACETYL-D-GLUCOSAMINE
194,1BWU,True,False,True,ALPHA-D-MANNOSE
195,1BX2,True,False,True,N-ACETYL-D-GLUCOSAMINE
196,1BXH,True,False,True,ALPHA-METHYL-D-GALACTOSIDE
197,1BXH,True,False,False,O1-METHYL-MANNOSE
198,1BXO,True,False,True,ALPHA-D-MANNOSE
199,1BXQ,True,False,True,ALPHA-D-MANNOSE
200,1BY2,True,False,True,N-ACETYL-D-GLUCOSAMINE
201,1BYB,True,False,True,ALPHA-D-GLUCOSE
202,1BYC,True,False,True,ALPHA-D-GLUCOSE
203,1BYC,True,False,True,BETA-D-GLUCOSE
204,1BYH,True,False,True,BETA-D-GLUCOSE
205,1BYV,True,False,True,N-ACETYL-D-GLUCOSAMINE
206,1BZB,True,False,True,N-ACETYL-D-GLUCOSAMINE
207,1BZB,True,False,True,ALPHA-D-MANNOSE
208,1BZW,True,False,True,BETA-D-GALACTOSE
209,1BZW,True,False,True,ALPHA-D-GLUCOSE
210,1BZW,True,False,True,BETA-D-GLUCOSE
211,1C0Q,True,False,True,BETA-D-GLUCOSE
212,1C0R,True,False,True,BETA-D-GLUCOSE
213,1C1J,True,False,False,B-OCTYLGLUCOSIDE
214,1C1L,True,False,True,BETA-D-GALACTOSE
215,1C1L,True,False,True,BETA-D-GLUCOSE
216,1C1Z,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
217,1C1Z,True,False,True,N-ACETYL-D-GLUCOSAMINE
218,1C1Z,True,False,True,BETA-D-MANNOSE
219,1C1Z,True,False,True,ALPHA-D-MANNOSE
220,1C39,True,False,True,N-ACETYL-D-GLUCOSAMINE
221,1C39,True,False,False,1-3 SUGAR RING OF PENTAMANNOSYL 6-PHOSPHATE
222,1C3M,True,False,True,ALPHA-D-MANNOSE
223,1C3N,True,False,True,ALPHA-D-MANNOSE
224,1C47,True,False,True,"ALPHA-D-GLUCOSE 1,6-BISPHOSPHATE"
225,1C4G,True,False,True,ALPHA-D-GLUCOSE-1-PHOSPHATE-6-VANADATE
226,1C4Q,True,False,False,ALPHA D-GALACTOSE
227,1C4Q,True,False,True,BETA-D-GALACTOSE
228,1C4Q,True,False,True,BETA-D-GLUCOSE
229,1C7S,True,False,True,DI(N-ACETYL-D-GLUCOSAMINE)
230,1C7T,True,False,True,DI(N-ACETYL-D-GLUCOSAMINE)
231,1C82,True,False,True,"4,5-DEHYDRO-D-GLUCURONIC ACID"
232,1C82,True,False,True,N-ACETYL-D-GLUCOSAMINE
233,1C8I,True,False,True,N-ACETYL-D-GLUCOSAMINE
234,1C8I,True,False,True,BETA-D-MANNOSE
235,1CB2,True,False,True,N-ACETYL-D-GLUCOSAMINE
236,1CB2,True,False,True,ALPHA-D-MANNOSE
237,1CB8,True,False,True,ALPHA-D-MANNOSE
238,1CB8,True,False,False,D-GLUCURONIC ACID
239,1CB8,True,True,False,ALPHA-L-METHYL-FUCOSE
240,1CCZ,True,False,True,N-ACETYL-D-GLUCOSAMINE
241,1CD9,True,False,True,N-ACETYL-D-GLUCOSAMINE
242,1CDR,True,False,True,N-ACETYL-D-GLUCOSAMINE
243,1CDR,True,True,False,ALPHA-L-FUCOSE
244,1CDS,True,False,True,N-ACETYL-D-GLUCOSAMINE
245,1CE7,True,False,True,N-ACETYL-D-GLUCOSAMINE
246,1CEL,True,False,True,N-ACETYL-D-GLUCOSAMINE
247,1CEL,True,False,True,BETA-D-GLUCOSE
248,1CEL,True,False,True,ALPHA-D-GLUCOSE
249,1CEN,True,False,True,BETA-D-GLUCOSE
250,1CF3,True,False,True,N-ACETYL-D-GLUCOSAMINE
251,1CF3,True,False,True,BETA-D-MANNOSE
252,1CF3,True,False,True,ALPHA-D-MANNOSE
253,1CF5,True,True,False,ALPHA-L-FUCOSE
254,1CF5,True,False,True,N-ACETYL-D-GLUCOSAMINE
255,1CF5,True,False,True,BETA-D-MANNOSE
256,1CF5,True,False,True,ALPHA-D-MANNOSE
257,1CFB,True,False,True,N-ACETYL-D-GLUCOSAMINE
258,1CFJ,True,False,True,N-ACETYL-D-GLUCOSAMINE
259,1CFJ,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
260,1CFV,True,False,True,ESTRONE BETA-D-GLUCURONIDE
261,1CGU,True,False,True,ALPHA-D-GLUCOSE
262,1CIW,True,False,True,BETA-D-GALACTOSE
263,1CIW,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
264,1CJP,True,False,True,4-METHYLUMBELLIFERYL-ALPHA-D-GLUCOSE
265,1CK6,True,False,True,N-ACETYL-D-GLUCOSAMINE
266,1CK6,True,False,True,BETA-D-MANNOSE
267,1CKL,True,False,True,N-ACETYL-D-GLUCOSAMINE
268,1CKL,True,False,True,BETA-D-MANNOSE
269,1CKL,True,False,True,ALPHA-D-MANNOSE
270,1CLE,True,False,True,N-ACETYL-D-GLUCOSAMINE
271,1CLY,True,True,False,ALPHA-L-FUCOSE
272,1CLY,True,False,True,BETA-D-GALACTOSE
273,1CLY,True,False,True,N-ACETYL-D-GLUCOSAMINE
274,1CLZ,True,True,False,ALPHA-L-FUCOSE
275,1CLZ,True,False,True,BETA-D-GALACTOSE
276,1CLZ,True,False,True,N-ACETYL-D-GLUCOSAMINE
277,1CPO,True,False,True,N-ACETYL-D-GLUCOSAMINE
278,1CPO,True,False,True,BETA-D-MANNOSE
279,1CPO,True,False,True,ALPHA-D-MANNOSE
280,1CPU,True,False,True,ALPHA-D-GLUCOSE
281,1CPU,True,False,True,"4,6-DIDEOXY-4-AMINO-ALPHA-D-GLUCOSE"
282,1CPU,True,False,True,N-ACETYL-D-GLUCOSAMINE
283,1CPY,True,False,True,N-ACETYL-D-GLUCOSAMINE
284,1CQ1,True,False,True,BETA-D-GLUCOSE
285,1CQD,True,False,True,N-ACETYL-D-GLUCOSAMINE
286,1CQD,True,True,False,BETA-L-FUCOSE
287,1CQD,True,True,False,ALPHA-L-FUCOSE
288,1CQE,True,False,True,N-ACETYL-D-GLUCOSAMINE
289,1CQE,True,False,False,B-OCTYLGLUCOSIDE
290,1CQF,True,False,False,ALPHA D-GALACTOSE
291,1CQF,True,False,True,BETA-D-GALACTOSE
292,1CQF,True,False,True,BETA-D-GLUCOSE
293,1CR7,True,False,True,BETA-D-GALACTOSE
294,1CR7,True,False,True,ALPHA-D-GLUCOSE
295,1CRL,True,False,True,N-ACETYL-D-GLUCOSAMINE
296,1CT1,True,False,True,BETA-D-GALACTOSE
297,1CT1,True,False,True,N-ACETYL-D-GALACTOSAMINE
298,1CT1,True,False,True,BETA-D-GLUCOSE
299,1CT1,True,False,False,O-SIALIC ACID
300,1CVI,True,False,True,N-ACETYL-D-GLUCOSAMINE
301,1CVI,True,False,True,BETA-D-MANNOSE
302,1CVI,True,True,False,ALPHA-L-FUCOSE
303,1CVI,True,False,True,ALPHA-D-MANNOSE
304,1CVN,True,False,True,ALPHA-D-MANNOSE
305,1CVU,True,False,True,N-ACETYL-D-GLUCOSAMINE
306,1CVU,True,False,True,ALPHA-D-MANNOSE
307,1CVU,True,False,False,B-OCTYLGLUCOSIDE
308,1CX2,True,False,True,N-ACETYL-D-GLUCOSAMINE
309,1CX8,True,False,True,N-ACETYL-D-GLUCOSAMINE
310,1CXE,True,False,True,ALPHA-D-GLUCOSE
311,1CXF,True,False,True,ALPHA-D-GLUCOSE
312,1CXH,True,False,True,ALPHA-D-GLUCOSE
313,1CXK,True,False,True,ALPHA-D-GLUCOSE
314,1CXL,True,False,True,ALPHA-D-GLUCOSE
315,1CXL,True,False,True,4-DEOXY-ALPHA-D-GLUCOSE
316,1CXL,True,False,True,1-FLUORO-ALPHA-1-DEOXY-D-GLUCOSE
317,1CXP,True,False,True,N-ACETYL-D-GLUCOSAMINE
318,1CXP,True,False,True,BETA-D-MANNOSE
319,1CXP,True,False,True,ALPHA-D-MANNOSE
320,1CXP,True,True,False,ALPHA-L-FUCOSE
321,1CZF,True,False,True,N-ACETYL-D-GLUCOSAMINE
322,1D0K,True,False,True,N-ACETYL-D-GLUCOSAMINE
323,1D0L,True,True,False,4-O-(4-O-SULFONYL-N-ACETYLGLUCOSAMININYL)-5-METHYLHYDROXY-L-PROLINE-TAURINE
324,1D0M,True,False,True,N-ACETYL-D-GLUCOSAMINE
325,1D0M,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
326,1D0M,True,True,False,4-O-(4-O-SULFONYL-N-ACETYLGLUCOSAMININYL)-5-METHYLHYDROXY-L-PROLINE-TAURINE
327,1D1I,True,False,False,ALPHA D-GALACTOSE
328,1D1I,True,False,True,BETA-D-GALACTOSE
329,1D1I,True,False,True,BETA-D-GLUCOSE
330,1D1K,True,False,False,ALPHA D-GALACTOSE
331,1D1K,True,False,True,BETA-D-GALACTOSE
332,1D1K,True,False,True,ALPHA-D-GLUCOSE
333,1D2V,True,False,True,N-ACETYL-D-GLUCOSAMINE
334,1D2V,True,False,True,BETA-D-MANNOSE
335,1D2V,True,False,True,ALPHA-D-MANNOSE
336,1D2V,True,True,False,ALPHA-L-FUCOSE
337,1D3C,True,False,True,ALPHA-D-GLUCOSE
338,1D3D,True,False,True,N-ACETYL-D-GLUCOSAMINE
339,1D3P,True,False,True,N-ACETYL-D-GLUCOSAMINE
340,1D3Q,True,False,True,N-ACETYL-D-GLUCOSAMINE
341,1D3T,True,False,True,N-ACETYL-D-GLUCOSAMINE
342,1D4P,True,False,True,N-ACETYL-D-GLUCOSAMINE
343,1D5L,True,False,True,N-ACETYL-D-GLUCOSAMINE
344,1D5L,True,False,True,BETA-D-MANNOSE
345,1D5L,True,False,True,ALPHA-D-MANNOSE
346,1D5L,True,True,False,ALPHA-L-FUCOSE
347,1D5M,True,False,True,N-ACETYL-D-GLUCOSAMINE
348,1D6P,True,False,True,N-ACETYL-D-GLUCOSAMINE
349,1D6Q,True,False,True,BETA-D-GALACTOSE
350,1D6Q,True,False,True,N-ACETYL-D-GLUCOSAMINE
351,1D7B,True,False,True,N-ACETYL-D-GLUCOSAMINE
352,1D7B,True,False,True,BETA-D-MANNOSE
353,1D7C,True,False,True,N-ACETYL-D-GLUCOSAMINE
354,1D7C,True,False,True,BETA-D-MANNOSE
355,1D7D,True,False,True,N-ACETYL-D-GLUCOSAMINE
356,1D7D,True,False,True,BETA-D-MANNOSE
357,1D7D,True,False,True,ALPHA-D-MANNOSE
358,1D7W,True,False,True,N-ACETYL-D-GLUCOSAMINE
359,1D7W,True,False,True,BETA-D-MANNOSE
360,1D7W,True,False,True,ALPHA-D-MANNOSE
361,1D7W,True,True,False,ALPHA-L-FUCOSE
362,1D9K,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
363,1D9K,True,False,True,N-ACETYL-D-GLUCOSAMINE
364,1D9U,True,False,True,N-ACETYL-D-GLUCOSAMINE
365,1D9U,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
366,1DAN,True,False,True,BETA-D-GLUCOSE
367,1DAN,True,True,False,ALPHA-L-FUCOSE
368,1DBG,True,False,True,ALPHA-D-MANNOSE
369,1DBG,True,False,False,D-GLUCURONIC ACID
370,1DBG,True,False,False,2-O-METHYL FUCOSE
371,1DBG,True,False,True,4-DEOXY-ALPHA-D-GLUCOSE
372,1DBG,True,False,True,BETA-D-GLUCOSE
373,1DBN,True,False,True,N-ACETYL-D-GLUCOSAMINE
374,1DBN,True,False,False,O-SIALIC ACID
375,1DBN,True,False,True,BETA-D-GALACTOSE
376,1DBN,True,False,True,BETA-D-GLUCOSE
377,1DBO,True,False,True,ALPHA-D-MANNOSE
378,1DBO,True,False,False,D-GLUCURONIC ACID
379,1DBO,True,False,False,2-O-METHYL FUCOSE
380,1DBO,True,False,True,4-DEOXY-ALPHA-D-GLUCOSE
381,1DBO,True,False,True,BETA-D-GLUCOSE
382,1DBO,True,False,True,2-DEOXY-2-ACETAMIDO-BETA-D-GALACTOSE-4-SULFATE
383,1DBO,True,False,True,4-DEOXY-D-GLUCURONIC ACID
384,1DDX,True,False,True,N-ACETYL-D-GLUCOSAMINE
385,1DDX,True,False,False,B-OCTYLGLUCOSIDE
386,1DE4,True,False,True,N-ACETYL-D-GLUCOSAMINE
387,1DEO,True,False,True,N-ACETYL-D-GLUCOSAMINE
388,1DEO,True,False,True,BETA-D-MANNOSE
389,1DEO,True,False,True,ALPHA-D-MANNOSE
390,1DEX,True,False,True,N-ACETYL-D-GLUCOSAMINE
391,1DEX,True,False,True,BETA-D-MANNOSE
392,1DEX,True,False,True,ALPHA-D-MANNOSE
393,1DFV,True,False,True,N-ACETYL-D-GLUCOSAMINE
394,1DFV,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
395,1DGL,True,False,True,ALPHA-D-MANNOSE
396,1DGL,True,False,False,O1-METHYL-MANNOSE
397,1DHK,True,False,True,N-ACETYL-D-GLUCOSAMINE
398,1DID,True,False,True,"2,5-DIDEOXY-2,5-IMINO-D-GLUCITOL"
399,1DIL,True,False,True,"(4-ACETAMIDO-2,4-DIDEOXY-D-GLYCERO-ALPHA-D-GALACTO-1-OCTOPYRANOSYL)PHOSPHONIC ACID"
400,1DIL,True,False,True,"4-ACETAMIDO-2,4-DIDEXOY-D-GLYCERO-BETA-D-GALACTO-OCTOPYRANOSYLPHOSPHONIC ACID (AN AXIAL PHOSPHONATE)"
401,1DIM,True,False,True,"(4-ACETAMIDO-2,4-DIDEOXY-D-GLYCERO-ALPHA-D-GALACTO-1-OCTOPYRANOSYL)PHOSPHONIC ACID"
402,1DIY,True,False,True,N-ACETYL-D-GLUCOSAMINE
403,1DIY,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
404,1DIY,True,False,True,BETA-D-MANNOSE
405,1DIY,True,False,True,ALPHA-D-MANNOSE
406,1DIY,True,False,False,B-OCTYLGLUCOSIDE
407,1DJR,True,False,False,ALPHA D-GALACTOSE
408,1DL2,True,False,True,N-ACETYL-D-GLUCOSAMINE
409,1DL2,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
410,1DL2,True,False,True,BETA-D-MANNOSE
411,1DL2,True,False,True,ALPHA-D-MANNOSE
412,1DLH,True,False,True,N-ACETYL-D-GLUCOSAMINE
413,1DLH,True,False,True,2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE
414,1DMT,True,False,True,N-ACETYL-D-GLUCOSAMINE
415,1DN2,True,False,True,N-ACETYL-D-GLUCOSAMINE
416,1DN2,True,False,True,BETA-D-MANNOSE
417,1DN2,True,False,True,ALPHA-D-MANNOSE
418,1DN2,True,False,True,BETA-D-GALACTOSE
419,1DN2,True,True,False,BETA-L-FUCOSE
420,1DN2,True,True,False,ALPHA-L-FUCOSE
421,1DNU,True,False,True,N-ACETYL-D-GLUCOSAMINE
422,1DNU,True,False,True,BETA-D-MANNOSE
